SearchTerm,Journal,Authors,Authors2,Title,Journal2,Abstract,ORCIDS,ISSN,Publication Year,DOI,KeepTitle,KeepAbstract,KeepFullPaper,ModelCategory,Model,Occurrence/Abundance,Datasource,SamplingMethod,PositiveSiteCt,SiteNotes,Lifestage,Location,Scale,Genera,Species,Environmental_Dataset,Temperature,ExplanatoryFactors,MostImportantVariable,Collinearirt,FutureClimProjection,Notes
AEDES SPECIES DISTRIBUTION MODEL,J,"Pech-May, A; Moo-Llanes, DA; Puerto-Avila, MB; Casas, M; Danis-Lozano, R; Ponce, G; Tun-Ku, E; Pinto-Castillo, JF; Villegas, A; Ibanez-Pinon, CR; Gonzalez, C; Ramsey, JM","Pech-May, Angelica; Moo-Llanes, David A.; Belem Puerto-Avila, Maria; Casas, Mauricio; Danis-Lozano, Rogelio; Ponce, Gustavo; Tun-Ku, Ezequiel; Francisco Pinto-Castillo, Jose; Villegas, Alejandro; Ibanez-Pinon, Clemente R.; Gonzalez, Cassandra; Ramsey, Janine M.",Population genetics and ecological niche of invasive Aedes albopictus in Mexico,ACTA TROPICA,"The Asian tiger mosquito Aedes albopictus (Skuse), is one of the most invasive mosquito species worldwide. In Mexico it is now recorded in 12 states and represents a serious public health problem, given the recent introduction of Chikungunya on the southern border. The aim of this study was to analyze the population genetics of A. albopictus from all major recorded foci, and model its ecological niche. Niche similarity with that from its autochthonous distribution in Asia and other invaded countries were analyzed and its potential future expansion and potential human exposure in climate change scenarios measured. We analyzed 125 sequences of a 317 bp fragment of the cyt b gene from seven A. albopictus populations across Mexico. The samples belong to 25 haplotypes with moderate population structuring (Fst = 0.081, p < 0.02) and population expansion. The most prevalent haplotype, found in all principal sites, was shared with the USA, Brazil, France, Madagascar, and Reunion Island. The ecological niche model using Mexican occurrence records covers 79.7% of the country, and has an 83% overlap with the Asian niche projected to Mexico. Both Neotropical and Nearctic regions are included in the Mexican niche model. Currently in Mexico, 38.6 million inhabitants are exposed to A. albopictus, which is expected to increase to 45.6 million by 2070. Genetic evidence supports collection information that A. albopictus was introduced to Mexico principally by land from the USA and Central and South America. Prevalent haplotypes from Mexico are shared with most invasive regions across the world, just as there was high niche similarity with both natural and invaded regions. The important overlap with the Asian niche model suggests a high potential for the species to disperse to sylvatic regions in Mexico. (C) 2016 Elsevier B.V. All rights reserved.","Pech-May, Angelica/0000-0003-4942-7788; Gonzalez Acosta, Cassandra/0000-0003-2682-908X",0001-706X,2016,10.1016/j.actatropica.2016.01.021,yes,yes,yes,GARP,GARP,Occurrence,"Collection of eggs and larvae, literature","Entomological nets, manual aspirators, ovitraps, larval breeding site sampling",207,,eggs and larvae,Mexico,National,Aedes,ae. albopictus,"WorldClim (C), USGS Hydro (T)","bioclim 1, 4, 5, 6, 7, 12, 13, 14, 15","bioclim 1, 4, 5, 6, 7, 12, 13, 14, 15, aspect, elevation, slope, topographic index",did not discuss variable contribution,correlation coefficien < 0.75,yes,did future projections
AEDES ECOLOGICAL NICHE MODEL,J,"Lippi, CA; Stewart-Ibarra, AM; Loor, MEFB; Zambrano, JED; Lopez, NAE; Blackburn, JK; Ryan, SJ","Lippi, Catherine A.; Stewart-Ibarra, Anna M.; Loor, M. E. Franklin Bajana; Zambrano, Jose E. Duenas; Lopez, Nelson A. Espinoza; Blackburn, Jason K.; Ryan, Sadie J.",Geographic shifts in Aedes aegypti habitat suitability in Ecuador using larval surveillance data and ecological niche modeling: Implications of climate change for public health vector control,PLOS NEGLECTED TROPICAL DISEASES,"Arboviral disease transmission by Aedes mosquitoes poses a major challenge to public health systems in Ecuador, where constraints on health services and resource allocation call for spatially informed management decisions. Employing a unique dataset of larval occurrence records provided by the Ecuadorian Ministry of Health, we used ecological niche models (ENMs) to estimate the current geographic distribution of Aedes aegypti in Ecuador, using mosquito presence as a proxy for risk of disease transmission. ENMs built with the Genetic Algorithm for Rule-Set Production (GARP) algorithm and a suite of environmental variables were assessed for agreement and accuracy. The top model of larval mosquito presence was projected to the year 2050 under various combinations of greenhouse gas emissions scenarios and models of climate change. Under current climatic conditions, larval mosquitoes were not predicted in areas of high elevation in Ecuador, such as the Andes mountain range, as well as the eastern portion of the Amazon basin. However, all models projected to scenarios of future climate change demonstrated potential shifts in mosquito distribution, wherein range contractions were seen throughout most of eastern Ecuador, and areas of transitional elevation became suitable for mosquito presence. Encroachment of Ae. aegypti into mountainous terrain was estimated to affect up to 4,215 km(2) under the most extreme scenario of climate change, an area which would put over 12,000 people currently living in transitional areas at risk. This distributional shift into communities at higher elevations indicates an area of concern for public health agencies, as targeted interventions may be needed to protect vulnerable populations with limited prior exposure to mosquito-borne diseases. Ultimately, the results of this study serve as a tool for informing public health policy and mosquito abatement strategies in Ecuador. Author summary The yellow fever mosquito (Aedes aegypti) is a medically important vector of arboviral diseases in Ecuador, such as dengue fever and chikungunya. Managing Ae. aegypti is a challenge to public health agencies in Latin America, where the use of limited resources must be planned in an efficient, targeted manner. The spatial distribution of Ae. aegypti can be used as a proxy for risk of disease exposure, guiding policy formation and decision-making. We used ecological niche models in this study to predict the range of Ae. aegypti in Ecuador, based on agency larval mosquito surveillance records and layers of environmental predictors (e.g. climate, elevation, and human population). The best models of current range were then projected to the year 2050 under a variety of greenhouse gas emissions scenarios and models of climate change. All modeled future scenarios predicted shifts in the range of Ae. aegypti, allowing us to assess human populations that may be at risk of becoming exposed to Aedes vectored diseases. As climate changes, we predict that communities living in areas of transitional elevation along the Andes mountain range are vulnerable to the expansion of Ae. aegypti.","Ryan, Sadie Jane/0000-0002-4308-6321; Blackburn, Jason/0000-0003-0928-4831; Lippi, Catherine/0000-0002-7988-0324",1935-2735,2019,10.1371/journal.pntd.0007322,yes,yes,yes,GARP,GARP,Occurrence,larval sampling,WHO larval sampling techniques,478,"split into 75% training, 25% testing",larvae,Ecuador,National,Aedes,ae. aegypti,WorldClim (C),bioclim,"all bioclim, elevation, human population density","Elevation, GPW, BIO5, BIO7, BIO8, BIO9, BIO10, BIO11, BIO13, BIO15, BIO17, BIO19",no discussion of collinearity,yes,future models
ANOPHELES ECOLOGICAL NICHE MODEL,J,"Moffett, A; Shackelford, N; Sarkar, S","Moffett, Alexander; Shackelford, Nancy; Sarkar, Sahotra",Malaria in Africa: Vector Species' Niche Models and Relative Risk Maps,PLOS ONE,"A central theoretical goal of epidemiology is the construction of spatial models of disease prevalence and risk, including maps for the potential spread of infectious disease. We provide three continent-wide maps representing the relative risk of malaria in Africa based on ecological niche models of vector species and risk analysis at a spatial resolution of 1 arc-minute (9 185 275 cells of approximately 4 sq km). Using a maximum entropy method we construct niche models for 10 malaria vector species based on species occurrence records since 1980, 19 climatic variables, altitude, and land cover data (in 14 classes). For seven vectors (Anopheles coustani, A. funestus, A. melas, A. merus, A. moucheti, A. nili, and A. paludis) these are the first published niche models. We predict that Central Africa has poor habitat for both A. arabiensis and A. gambiae, and that A. quadriannulatus and A. arabiensis have restricted habitats in Southern Africa as claimed by field experts in criticism of previous models. The results of the niche models are incorporated into three relative risk models which assume different ecological interactions between vector species. The additive'' model assumes no interaction; the minimax'' model assumes maximum relative risk due to any vector in a cell; and the competitive exclusion'' model assumes the relative risk that arises from the most suitable vector for a cell. All models include variable anthrophilicity of vectors and spatial variation in human population density. Relative risk maps are produced from these models. All models predict that human population density is the critical factor determining malaria risk. Our method of constructing relative risk maps is equally general. We discuss the limits of the relative risk maps reported here, and the additional data that are required for their improvement. The protocol developed here can be used for any other vector-borne disease.",,1932-6203,2007,10.1371/journal.pone.0000824,yes,yes,yes,MaxEnt,maxent,Occurrence,"literature review, Mapping Malaria Risk in Africa,",na,3342,,not specified,Africa,Regional,Anopheles,"Anopheles coustani, A. funestus, A. melas, A. merus, A. moucheti, A. nili, and A. paludis","WorldClim (C, T), Global Land Cover Facility (LC)",bioclim,"annual mean temperature, mean diurnal range, isothermality, temperature seasonality, maximum temperature of warmest month, minimum temperature of coldest month, temperature annual range, mean temperature of wettest quarter, mean temperature of driest quarter, mean temperature of warmest quarter, mean temperature of coldest quarter, annual precipitation, precipitation of wettest month, precipitation of driest month, precipitation seasonality, precipitation of wettest quarter, precipitation of driest quarter, precipitation of warmest quarter, precipitation of coldest quarter, altitude, land cover","an arabiensis: temperature seasonality, temp of wettest quarter, annual precipitation; an coustani temperature seasonality, temperature annual range, precipitation of wettest quarter; an funestus precipitation of wettest month, temperature seasonality, temperature annual range; an gambiae mean temperature of coldest quarter, min temperature of coldest month, precip of wettest month; an melas altitude, mean temperature of wettest quarter, precip of wettest month; an merus precipitation of driest month, precip of coldest quarter, altitude; an moucheti temperature annual range, mean diurnal range, isothermality, landscape; an nili temperature annual range, mean diurnal range, isothermality; an paludis temperature annual range, mean diurnal range, isothermality; an quadriannulatus precipitation of warmest quarter, precipitation of wettest quarter, mean temperature of driest quarter",,no,
ANOPHELES SPECIES DISTRIBUTION,J,"Kulkarni, MA; Desrochers, RE; Kerr, JT","Kulkarni, Manisha A.; Desrochers, Rachelle E.; Kerr, Jeremy T.",High Resolution Niche Models of Malaria Vectors in Northern Tanzania: A New Capacity to Predict Malaria Risk?,PLOS ONE,"Background: Malaria transmission rates in Africa can vary dramatically over the space of a few kilometres. This spatial heterogeneity reflects variation in vector mosquito habitat and presents an important obstacle to the efficient allocation of malaria control resources. Malaria control is further complicated by combinations of vector species that respond differently to control interventions. Recent modelling innovations make it possible to predict vector distributions and extrapolate malaria risk continentally, but these risk mapping efforts have not yet bridged the spatial gap to guide on-the-ground control efforts. Methodology/Principal Findings: We used Maximum Entropy with purpose-built, high resolution land cover data and other environmental factors to model the spatial distributions of the three dominant malaria vector species in a 94,000 km(2) region of east Africa. Remotely sensed land cover was necessary in each vector's niche model. Seasonality of precipitation and maximum annual temperature also contributed to niche models for Anopheles arabiensis and An. funestus s.l. (AUC 0.989 and 0.991, respectively), but cold season precipitation and elevation were important for An. gambiae s.s. (AUC 0.997). Although these niche models appear highly accurate, the critical test is whether they improve predictions of malaria prevalence in human populations. Vector habitat within 1.5 km of community-based malaria prevalence measurements interacts with elevation to substantially improve predictions of Plasmodium falciparum prevalence in children. The inclusion of the mechanistic link between malaria prevalence and vector habitat greatly improves the precision and accuracy of prevalence predictions (r(2) = 0.83 including vector habitat, or r(2) = 0.50 without vector habitat). Predictions including vector habitat are unbiased (observations vs. model predictions of prevalence: slope = 1.02). Using this model, we generate a high resolution map of predicted malaria prevalence throughout the study region. Conclusions/Significance: The interaction between mosquito niche space and microclimate along elevational gradients indicates worrisome potential for climate and land use changes to exacerbate malaria resurgence in the east African highlands. Nevertheless, it is possible to direct interventions precisely to ameliorate potential impacts.","Desrochers, Rachelle/0000-0001-5169-3853; Kulkarni, Manisha/0000-0002-5084-4960",1932-6203,2010,10.1371/journal.pone.0009396,yes,yes,yes,MaxEnt,Maxent,Occurrence,"adult sampling, Global Biodiversity Information Facility database","CDC miniature light traps, pyrethrum spray catches, pit traps","20 an arabiensis, 10 gambiae, 10 funestus",,adults,Tanzania,Sub-national,Anopheles,"An arabiensis, an gambiae ss, an funestus","WorldClim (C), Landsat (LC), Shuttle Radar Topography Mission (T)",Bioclim,"Land cover, bioclim, elevation, human population density","arabiensis influenced by precipitation seasonality, max temperature of warmest month, land cover; funestus max temperature of warmest month, precipitation seasonality; gambiae precipitation of the coldest quarter, land cover",covariance matrices,no,
CULEX ECOLOGICAL NICHE MODEL,J,"Masuoka, P; Klein, TA; Kim, HC; Claborn, DM; Achee, N; Andre, R; Chamberlin, J; Small, J; Anyamba, A; Lee, DK; Yi, SH; Sardelis, M; Ju, YR; Grieco, J","Masuoka, Penny; Klein, Terry A.; Kim, Heung-Chul; Claborn, David M.; Achee, Nicole; Andre, Richard; Chamberlin, Judith; Small, Jennifer; Anyamba, Assaf; Lee, Dong-Kyu; Yi, Suk H.; Sardelis, Michael; Ju, Young-Ran; Grieco, John",Modeling the distribution of Culex tritaeniorhynchus to predict Japanese encephalitis distribution in the Republic of Korea,GEOSPATIAL HEALTH,"Over 35,000 cases of Japanese encephalitis (JE) are reported worldwide each year. Culex tritaeniorhynchus is the primary vector of the JE virus, while wading birds are natural reservoirs and swine amplifying hosts. As part of a JE risk analysis, the ecological niche modeling programme, Maxent, was used to develop a predictive model for the distribution of Cx. tritaeniorhynchus in the Republic of Korea, using mosquito collection data, temperature, precipitation, elevation, land cover and the normalized difference vegetation index (NDVI). The resulting probability maps from the model were consistent with the known environmental limitations of the mosquito with low probabilities predicted for forest covered mountains. July minimum temperature and land cover were the most important variables in the model. Elevation, summer NDVI (July-September), precipitation in July, summer minimum temperature (May-August) and maximum temperature for fall and winter months also contributed to the model. Comparison of the Cx. tritaeniorhynchus model to the distribution of JE cases in the Republic of Korea from 2001 to 2009 showed that cases among a highly vaccinated Korean population were located in high-probability areas for Cx. tritaeniorhynchus. No recent JE cases were reported from the eastern coastline, where higher probabilities of mosquitoes were predicted, but where only small numbers of pigs are raised. The geographical distribution of reported JE cases corresponded closely with the predicted high-probability areas for Cx. tritaeniorhynchus, making the map a useful tool for health risk analysis that could be used for planning preventive public health measures.",,1827-1987,2010,10.4081/gh.2010.186,yes,yes,yes,MaxEnt,Maxent,Occurrence,adult sampling and larval sampling,"dipping, multiple light traps",96,"used 72 for training, 24 for testing",adults and larvae,South Korea,National,Culex,Culex tritaeniorhynchus,"WorldClim (C, T), MODIS (LC)",WorldClim max and min temperature,"climate data from world clim, elevation, land cover from MODIS with 17 classes, NDVI","minimum temperature in July most predictive, land cover most unique contribution",no discussion of collinearity,no,"it looks like they did not represent LC with dummy variables, but had 1 multi-category variable"
AEDES SPECIES DISTRIBUTION MODEL,J,"Medley, KA","Medley, Kim A.","Niche shifts during the global invasion of the Asian tiger mosquito, Aedes albopictus Skuse (Culicidae), revealed by reciprocal distribution models",GLOBAL ECOLOGY AND BIOGEOGRAPHY,"Aim Niche-based distribution models are often used to predict the spread of invasive species. These models assume niche conservation during invasion, but invasive species can have different requirements from populations in their native range for many reasons, including niche evolution. I used distribution modelling to investigate niche conservatism for the Asian tiger mosquito (Aedes albopictus Skuse) during its invasion of three continents. I also used this approach to predict areas at risk of invasion from propagules originating from invasive populations. Location Models were created for Southeast Asia, North and South America, and Europe. Methods I used maximum entropy (Maxent) to create distribution models using occurrence data and 18 environmental datasets. One native model was created for Southeast Asia; this model was projected onto North America, South America and Europe. Three models were created independently for the non-native ranges and projected onto the native range. Niche overlap between native and non-native predictions was evaluated by comparing probability surfaces between models using real data and random models generated using a permutation approach. Results The native model failed to predict an entire region of occurrences in South America, approximately 20% of occurrences in North America and nearly all Italian occurrences of A. albopictus. Non-native models poorly predict the native range, but predict additional areas at risk for invasion globally. Niche overlap metrics indicate that non-native distributions are more similar to the native niche than a random prediction, but they are not equivalent. Multivariate analyses support modelled differences in niche characteristics among continents, and reveal important variables explaining these differences. Main conclusions The niche of A. albopictus has shifted on invaded continents relative to its native range (Southeast Asia). Statistical comparisons reveal that the niche for introduced distributions is not equivalent to the native niche. Furthermore, reciprocal models highlight the importance of controlling bi-directional dispersal between native and non-native distributions.",,1466-822X,2010,10.1111/j.1466-8238.2009.00497.x,yes,yes,yes,MaxEnt,Maxent,Occurrence,literature review,na,6599,,not specified,"SE Asia, Europe, Americas",Regional,Aedes,ae albopictus,"WorldClim (C), IWMI (C), Climatic Research Unit (C), Global Land Cover Facility (LC)","annual mean temperature, mean max temperature of the warmest month, mean min temperature of the coldest month","annual mean temperature, mean max temperature of the warmest month, mean min temperature of the coldest month, annual precipitation, precipitation of the wettest month, precipitation of the driest month, percent max sunlight hours during February, percent maximum sunlight hors during August, percent max sunlight hours during November, percent relative humidity February, percent relative humidity during May, percent relative humidity during August, percent relative humidity during November, days with ground frost per month, mean wind speed, land cover",not specified,correlation coefficient < 0.7; principal components analysis,no,evaluated niche conservatism by reciprocal projections
ANOPHELES SPECIES DISTRIBUTION,J,"Laporta, GZ; Ramos, DG; Ribeiro, MC; Sallum, MAM","Laporta, Gabriel Zorello; Ramos, Daniel Garkauskas; Ribeiro, Milton Cezar; Mureb Sallum, Maria Anice",Habitat suitability of Anopheles vector species and association with human malaria in the Atlantic Forest in south-eastern brazil,MEMORIAS DO INSTITUTO OSWALDO CRUZ,"Every year, autochthonous cases of Plasmodium vivax malaria occur in low-endemicity areas of Vale do Ribeira in the south-eastern part of the Atlantic Forest, state of Sao Paulo, where Anopheles cruzii and Anopheles bellator are considered the primary vectors. However, other species in the subgenus Nyssorhynchus of Anopheles (e. g., Anopheles marajoara) are abundant and may participate in the dynamics of malarial transmission in that region. The objectives of the present study were to assess the spatial distribution of An. cruzii, An. bellator and An. marajoara and to associate the presence of these species with malaria cases in the municipalities of the Vale do Ribeira. Potential habitat suitability modelling was applied to determine both the spatial distribution of An. cruzii, An. bellator and An. marajoara and to establish the density of each species. Poisson regression was utilized to associate malaria cases with estimated vector densities. As a result, An. cruzii was correlated with the forested slopes of the Serra do Mar, An. bellator with the coastal plain and An. marajoara with the deforested areas. Moreover, both An. marajoara and An. cruzii were positively associated with malaria cases. Considering that An. marajoara was demonstrated to be a primary vector of human Plasmodium in the rural areas of the state of Amapa, more attention should be given to the species in the deforested areas of the Atlantic Forest, where it might be a secondary vector.","Laporta, Gabriel/0000-0001-7412-9390; Sallum, Maria Anice Mureb/0000-0002-7051-2891; Laporta, Gabriel/0000-0001-7412-9390",0074-0276,2011,10.1590/S0074-02762011000900029,yes,yes,yes,MaxEnt,Maxent,Occurrence,Adult collection,Shannon traps,,,Adults,Brazil,Sub-national,Anopheles,"An. cruzii, An. bellator and An. marajoara","WorldClim (C), Landsat (LC), Shuttle Radar Topography Mission (T)",average max temperature in the warmest month,"average max temperature in warmest month, average annual precipitation, slope, vegetation cover","an cruzii associated with terrain slope, high veg cover, and temp; an bellator positively associated with temp and precip; marajoara positively associated with temp, negative correlated with veg cover",no discussion of collinearity,no,used negative binomial regression to identify variables associated with count to use in maxent models
AEDES SPECIES DISTRIBUTION MODEL,J,"Fischer, D; Thomas, SM; Niemitz, F; Reineking, B; Beierkuhnlein, C","Fischer, Dominik; Thomas, Stephanie Margarete; Niemitz, Franziska; Reineking, Bjoern; Beierkuhnlein, Carl",Projection of climatic suitability for Aedes albopictus Skuse (Culicidae) in Europe under climate change conditions,GLOBAL AND PLANETARY CHANGE,"During the last decades the disease vector Aedes albopictus (Ae. albopictus) has rapidly spread around the globe. The spread of this species raises serious public health concerns. Here, we model the present distribution and the future climatic suitability of Europe for this vector in the face of climate change. In order to achieve the most realistic current prediction and future projection, we compare the performance of four different modelling approaches, differentiated by the selection of climate variables (based on expert knowledge vs. statistical criteria) and by the geographical range of presence records (native range vs. global range). First, models of the native and global range were built with MaxEnt and were either based on (1) statistically selected climatic input variables or (2) input variables selected with expert knowledge from the literature. Native models show high model performance (AUC: 0.91-0.94) for the native range, but do not predict the European distribution well (AUC: 0.70-0.72). Models based on the global distribution of the species, however, were able to identify all regions where Ae. albopictus is currently established, including Europe (AUC: 0.89-0.91). In a second step, the modelled bioclimatic envelope of the global range was projected to future climatic conditions in Europe using two emission scenarios implemented in the regional climate model COSMO-CLM for three time periods 2011-2040, 2041-2070, and 2071-2100. For both global-driven models, the results indicate that climatically suitable areas for the establishment of Ae. albopictus will increase in western and central Europe already in 2011-2040 and with a temporal delay in eastern Europe. On the other hand, a decline in climatically suitable areas in southern Europe is pronounced in the Expert knowledge based model. Our projections appear unaffected by non-analogue climate, as this is not detected by Multivariate Environmental Similarity Surface analysis. The generated risk maps can aid in identifying suitable habitats for Ae. albopictus and hence support monitoring and control activities to avoid disease vector establishment. (C) 2011 Elsevier B.V. All rights reserved.","Reineking, Bjorn/0000-0001-5277-9181; Beierkuhnlein, Carl/0000-0002-6456-4628; Thomas, Stephanie Margarete/0000-0003-0507-2006",0921-8181,2011,10.1016/j.gloplacha.2011.05.008,yes,yes,yes,MaxEnt,Maxent,Occurrence,literature review,na,1199,thinned records from USA and Brazil to account for more surveillance in those countries,not specified,Europe,Regional,Aedes,Ae. albopictus,"WorldClim (C, T)","bioclim 1, 4, 10, 11","bioclim 1, 4, 10, 11, 12, 17, 18 19, altitude",temperature and hydrological from native range model; mainly hydrological for global,discussed collinearity but retained all variables,yes,used data from native vs global range
CULEX ECOLOGICAL NICHE MODEL,J,"Miller, RH; Masuoka, P; Klein, TA; Kim, HC; Somer, T; Grieco, J","Miller, Robin H.; Masuoka, Penny; Klein, Terry A.; Kim, Heung-Chul; Somer, Todd; Grieco, John",Ecological Niche Modeling to Estimate the Distribution of Japanese Encephalitis Virus in Asia,PLOS NEGLECTED TROPICAL DISEASES,"Background: Culex tritaeniorhynchus is the primary vector of Japanese encephalitis virus (JEV), a leading cause of encephalitis in Asia. JEV is transmitted in an enzootic cycle involving large wading birds as the reservoirs and swine as amplifying hosts. The development of a JEV vaccine reduced the number of JE cases in regions with comprehensive childhood vaccination programs, such as in Japan and the Republic of Korea. However, the lack of vaccine programs or insufficient coverage of populations in other endemic countries leaves many people susceptible to JEV. The aim of this study was to predict the distribution of Culex tritaeniorhynchus using ecological niche modeling. Methods/Principal Findings: An ecological niche model was constructed using the Maxent program to map the areas with suitable environmental conditions for the Cx. tritaeniorhynchus vector. Program input consisted of environmental data (temperature, elevation, rainfall) and known locations of vector presence resulting from an extensive literature search and records from MosquitoMap. The statistically significant Maxent model of the estimated probability of Cx. tritaeniorhynchus presence showed that the mean temperatures of the wettest quarter had the greatest impact on the model. Further, the majority of human Japanese encephalitis (JE) cases were located in regions with higher estimated probability of Cx. tritaeniorhynchus presence. Conclusions/Significance: Our ecological niche model of the estimated probability of Cx. tritaeniorhynchus presence provides a framework for better allocation of vector control resources, particularly in locations where JEV vaccinations are unavailable. Furthermore, this model provides estimates of vector probability that could improve vector surveillance programs and JE control efforts.",,1935-2735,2012,10.1371/journal.pntd.0001678,yes,yes,yes,MaxEnt,Maxent,Occurrence,"Literature review, MosquitoMap, Force Health Protection and Preventive Medicine",na,139,"105 for training, 34 testing",not specified,Asia,Regional,Culex,Culex tritaeniorhynchus,"WorldClim (C, T)",Bioclim,"All bioclim, elevation, percentage rice cover","largest contribution from mean temperature of warmest quarter, altitude, annual precipitation",no discussion of collinearity,no,also compared map to JE human cases
AEDES SPECIES DISTRIBUTION MODEL,J,"Porretta, D; Mastrantonio, V; Bellini, R; Somboon, P; Urbanelli, S","Porretta, Daniele; Mastrantonio, Valentina; Bellini, Romeo; Somboon, Pradya; Urbanelli, Sandra",Glacial History of a Modern Invader: Phylogeography and Species Distribution Modelling of the Asian Tiger Mosquito Aedes albopictus,PLOS ONE,"Background: The tiger mosquito, Aedes albopictus, is one of the 100 most invasive species in the world and a vector of human diseases. In the last 30 years, it has spread from its native range in East Asia to Africa, Europe, and the Americas. Although this modern invasion has been the focus of many studies, the history of the species' native populations remains poorly understood. Here, we aimed to assess the role of Pleistocene climatic changes in shaping the current distribution of the species in its native range. Methodology/Principal Findings: We investigated the phylogeography, historical demography, and species distribution of Ae. albopictus native populations at the Last Glacial Maximum (LGM). Individuals from 16 localities from East Asia were analyzed for sequence variation at two mitochondrial genes. No phylogeographic structure was observed across the study area. Demographic analyses showed a signature of population expansion that started roughly 70,000 years BP. The occurrence of a continuous and climatically suitable area comprising Southeast China, Indochinese Peninsula, and Sundaland during LGM was indicated by species distribution modelling. Conclusions/Significance: Our results suggest an evolutionary scenario in which, during the last glacial phase, Ae. albopictus did not experience a fragmentation phase but rather persisted in interconnected populations and experienced demographic growth. The wide ecological flexibility of the species probably played a crucial role in its response to glacial-induced environmental changes. Currently, there is little information on the impact of Pleistocene climatic changes on animal species in East Asia. Most of the studies focused on forest-associated species and suggested cycles of glacial fragmentation and post-glacial expansion. The case of Ae. albopictus, which exhibits a pattern not previously observed in the study area, adds an important piece to our understanding of the Pleistocene history of East Asian biota.","MASTRANTONIO, VALENTINA/0000-0001-7701-4716; Somboon, Pradya/0000-0002-0760-4363; URBANELLI, Sandra/0000-0003-1183-0344",1932-6203,2012,10.1371/journal.pone.0044515,yes,yes,yes,MaxEnt,Maxent,Occurrence,"collections with aspirators, GBIF",Aspirators,,,Adults,East Asia,Regional,Aedes,ae albopictus,WorldClim (C),"min temperature in coldest period, mean temperature of wettest quarter","min temperature in coldest period, mean temperature of wettest quarter, precipitation ofr warmest quarter, and precipitation of coldest quarter",did not discuss variable contribution,correlation coefficient < 0.75,no,"did past projections for Last Glacial Maximum, Last Inter-Glacial"
ANOPHELES SPECIES DISTRIBUTION,J,"Fuller, DO; Ahumada, ML; Quinones, ML; Herrera, S; Beier, JC","Fuller, Douglas O.; Ahumada, Martha L.; Quinones, Martha L.; Herrera, Socrates; Beier, John C.",Near-present and future distribution of Anopheles albimanus in Mesoamerica and the Caribbean Basin modeled with climate and topographic data,INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,"Background: Anopheles albimanus is among the most important vectors of human malaria in Mesoamerica and the Caribbean Basin (M-C). Here, we use topographic data and 1950-2000 climate (near present), and future climate (2080) layers obtained from general circulation models (GCMs) to project the probability of the species' presence, p(s), using the species distribution model MaxEnt. Results: The projected near-present distribution parameterized with 314 presence points related well to the known geographic distribution in the study region. Different model experiments suggest that the range of An. albimanus based on near-present climate surfaces covered at least 1.27 million km(2) in the M-C, although 2080 range was projected to decrease to 1.19 million km(2). Modeled p(s) was generally highest in Mesoamerica where many of the original specimens were collected. MaxEnt projected near-present maximum elevation at 1,937 m whereas 2080 maximum elevation was projected at 2,118 m. 2080 climate scenarios generally showed increased p(s) in Mesoamerica, although results varied for northern South America and no major range expansion into the mid-latitudes was projected by 2080. Conclusions: MaxEnt experiments with near present and future climate data suggest that An. albimanus is likely to invade high-altitude (>2,000 m) areas by 2080 and therefore place many more people at risk of malaria in the M-C region even though latitudinal range expansion may be limited.",,1476-072X,2012,10.1186/1476-072X-11-13,yes,yes,yes,MaxEnt,Maxent,Occurrence,"Global Biodiversity Information Facility, MosquitoMap, and published data",na,350,,not specified,MesoAmerica and Caribbean,Regional,Anopheles,An. Albimanus,"WorldClim (C), Shuttle Radar Topography Mission (T)",WorldClim,"Worldclim, topography","Monthly precipitation important, elevation, temperature in final models",no discussion of collinearity,yes,
